distance,number shots,number correct
1,0.001,10000,2047
2,0.001,10000,3204
3,0.001,10000,3928
4,0.001,10000,4523
5,0.001,10000,4652
1,0.002,10000,3350
2,0.002,10000,4377
3,0.002,10000,4782
4,0.002,10000,4889
5,0.002,10000,4945
1,0.003,10000,3941
2,0.003,10000,4774
3,0.003,10000,4981
4,0.003,10000,5053
5,0.003,10000,5065
1,0.004,10000,4415
2,0.004,10000,4946
3,0.004,10000,4927
4,0.004,10000,4962
5,0.004,10000,5020
1,0.005,10000,4636
2,0.005,10000,4975
3,0.005,10000,5062
4,0.005,10000,4947
5,0.005,10000,5025
1,0.006,10000,4833
2,0.006,10000,4996
3,0.006,10000,4997
4,0.006,10000,4965
5,0.006,10000,4965
1,0.007,10000,4970
2,0.007,10000,4911
3,0.007,10000,4976
4,0.007,10000,5016
5,0.007,10000,4899
1,0.008,10000,4920
2,0.008,10000,5118
3,0.008,10000,5067
4,0.008,10000,4922
5,0.008,10000,4996
1,0.009,10000,4939
2,0.009,10000,5018
3,0.009,10000,5041
4,0.009,10000,5031
5,0.009,10000,5081
