distance,physical_error_rate,num_shots,num_correct
1,0.0001,10000,9857
2,0.0001,10000,9673
3,0.0001,10000,9533
1,0.0005,10000,9268
2,0.0005,10000,8595
3,0.0005,10000,8162
1,0.001,10000,8630
2,0.001,10000,7646
3,0.001,10000,6893
1,0.003,10000,6845
2,0.003,10000,5695
3,0.003,10000,5265
1,0.002,10000,7644
2,0.002,10000,6367
3,0.002,10000,5742
1,0.005,10000,5935
2,0.005,10000,5187
3,0.005,10000,5075
1,0.007,10000,5542
2,0.007,10000,5173
3,0.007,10000,5054
1,0.009,10000,5182
2,0.009,10000,4992
3,0.009,10000,5119
1,0.01,10000,5138
2,0.01,10000,4940
3,0.01,10000,4970
1,0.015,10000,5038
2,0.015,10000,4968
3,0.015,10000,5067
1,0.02,10000,4990
2,0.02,10000,4932
3,0.02,10000,5004
1,0.025,10000,4991
2,0.025,10000,4922
3,0.025,10000,5059
1,0.03,10000,4953
2,0.03,10000,4958
3,0.03,10000,5039
1,0.035,10000,4973
2,0.035,10000,5072
3,0.035,10000,5093
1,0.04,10000,4994
2,0.04,10000,5118
3,0.04,10000,5026
1,0.045,10000,5058
2,0.045,10000,5065
3,0.045,10000,5016
1,0.05,10000,4920
2,0.05,10000,4997
3,0.05,10000,5011
